model_type,model,accuracy,precision,recall,f1,roc_auc,confusion_matrix,MAE,RMSE,R2,Adjusted_R2
classification,logistic_regression,0.8146067415730337,0.7966101694915254,0.6911764705882353,0.7401574803149606,0.8685828877005348,TN=98; FP=12; FN=21; TP=47,,,,
classification,decision_tree,0.8146067415730337,0.7868852459016393,0.7058823529411765,0.7441860465116279,0.8147727272727272,TN=97; FP=13; FN=20; TP=48,,,,
classification,random_forest,0.7921348314606742,0.7719298245614035,0.6470588235294118,0.704,0.8333556149732619,TN=97; FP=13; FN=24; TP=44,,,,
classification,tuned_random_forest,0.8089887640449438,0.8148148148148148,0.6470588235294118,0.7213114754098361,0.8337566844919786,TN=100; FP=10; FN=24; TP=44,,,,
regression,linear_regression_fare,,,,,,,18.39448962720526,41.35779694167442,0.35888175157684565,0.2678843227683979
